stop_id,stop_name,city,route_type,routes_serviced,flood_risk_category,access_to_hospital_category,job_access_category,worker_vulnerability_category,latitude,longitude
0454,DNTC,hr,Bus,"['980_merged_9880518', '980_merged_9880508', '961_merged_9880526', '961_merged_9880516', '960_merged_9880525', '960_merged_9880515', '045', '044', '020', '018', '013', '011', '009', '008', '006', '004', '003', '002', '001']",2,0,2,1,36.850464,-76.283474
0404,SAINT PAULS & WOOD,hr,Bus,"['960_merged_9880525', '960_merged_9880515', '045', '008', '006']",2,0,2,1,36.850991,-76.284817
0455,BRAMBLETON & SAINT PAULS,hr,Bus,"['045', '044', '020', '011', '008', '006', '003', '002', '001']",2,0,2,1,36.853709,-76.284791
0612,BRAMBLETON & LINCOLN,hr,Bus,"['045', '044', '020', '011', '008', '006', '003', '002', '001']",2,0,2,1,36.853475,-76.282015
0613,BRAMBLETON & CHURCH,hr,Bus,"['018', '013', '009']",2,0,2,1,36.85267,-76.279497
3024,TIDEWATER & MAY,hr,Bus,['008'],2,0,2,1,36.848367,-76.276832
0604,TIDEWATER & CHARLOTTE,hr,Bus,['008'],2,0,2,1,36.847372,-76.277687
8006,HARBOR PARK STATION,hr,Tram,['800'],2,0,2,1,36.844006,-76.278042
0003,SAINT PAULS & CHARLOTTE,hr,Bus,"['961_merged_9880526', '961_merged_9880516']",2,0,2,1,36.85184,-76.28552
0006,SAINT PAULS & PLUME,hr,Bus,"['961_merged_9880526', '961_merged_9880516', '960_merged_9880525', '960_merged_9880515', '045', '008', '006']",2,0,2,1,36.846439,-76.285941
0008,WATERSIDE & COMMERCIAL,hr,Bus,"['961_merged_9880526', '961_merged_9880516', '960_merged_9880525', '960_merged_9880515', '045', '006']",2,0,2,1,36.844572,-76.289287
5636,BOUSH & BROOKE,hr,Bus,"['961_merged_9880526', '961_merged_9880516']",2,0,2,1,36.848608,-76.29251
6052,CITY HALL & BANK,hr,Bus,"['960_merged_9880525', '960_merged_9880515', '045', '006']",2,0,2,1,36.847532,-76.289507
5888,BRAMBLETON & YARMOUTH,hr,Bus,['044'],2,1,2,0,36.853881,-76.293681
